iter	MultiClass
297	2.77528759
298	2.775155876
299	2.774825005
300	2.774420818
301	2.774050987
302	2.773838304
303	2.7735822
304	2.773248617
305	2.773021661
306	2.772795584
307	2.772553662
308	2.772199715
309	2.77194433
310	2.771647651
311	2.771442
312	2.771006272
313	2.770729269
314	2.770335535
315	2.770073739
316	2.769774604
317	2.769539044
318	2.769325202
319	2.769093769
320	2.768924833
321	2.768611121
322	2.768342398
323	2.768145331
324	2.767927301
325	2.767586114
326	2.767395271
327	2.767097757
328	2.766732367
329	2.766421771
330	2.766151364
331	2.766010079
332	2.765824031
333	2.765464311
334	2.765286997
335	2.765050792
336	2.764711927
337	2.76440792
338	2.764206013
339	2.763867093
340	2.763697337
341	2.763382396
342	2.763034634
343	2.762748393
344	2.762381997
345	2.762180741
346	2.761729858
347	2.761510968
348	2.761330406
349	2.761025207
350	2.760452597
351	2.760160207
352	2.759776206
353	2.759485491
354	2.759383308
355	2.75912219
356	2.75887134
357	2.758711743
358	2.758411028
359	2.758077329
360	2.757885282
361	2.757750622
362	2.757487947
363	2.757217983
364	2.757125109
365	2.756756121
366	2.756558021
367	2.756279573
368	2.756108382
369	2.75582602
370	2.755558768
371	2.755273184
372	2.755085951
373	2.754857426
374	2.754627785
375	2.75425339
376	2.753876323
377	2.753697151
378	2.753505969
379	2.753332726
380	2.753145667
381	2.752848301
382	2.752564977
383	2.752320466
384	2.752097143
385	2.751684927
386	2.751521585
387	2.751405139
388	2.751172621
389	2.750998499
390	2.750629503
391	2.750310677
392	2.750080085
393	2.749816889
394	2.749669501
395	2.749476913
396	2.749083248
397	2.748770478
398	2.748496419
399	2.748309861
400	2.748140071
401	2.747772827
402	2.74767563
403	2.747441219
404	2.747155847
405	2.746917672
406	2.746583216
407	2.746285895
408	2.745953931
409	2.74565388
410	2.745482826
411	2.745261057
412	2.744917776
413	2.74473835
414	2.744530324
415	2.744355288
416	2.744011286
417	2.743902455
418	2.74379495
419	2.743466444
420	2.743332174
421	2.743136663
422	2.742928028
423	2.742832266
424	2.742716302
425	2.742627425
426	2.742297097
427	2.74214606
428	2.741923117
429	2.741745703
430	2.741391626
431	2.741255997
432	2.741153569
433	2.74078022
434	2.740623787
435	2.740430899
436	2.740404047
437	2.740287142
438	2.740079158
439	2.739877848
440	2.73975559
441	2.7396116
442	2.739361062
443	2.73916282
444	2.738802547
445	2.738724791
446	2.738595674
447	2.738381463
448	2.738292945
449	2.738135448
450	2.737936083
451	2.737759134
452	2.737553375
453	2.737500066
454	2.737448884
455	2.737214366
456	2.737056495
457	2.736874577
458	2.736763288
459	2.736658972
460	2.736591967
461	2.73630993
462	2.736017773
463	2.735961647
464	2.735787684
465	2.735725324
466	2.735710858
467	2.735548793
468	2.735365336
469	2.735165339
470	2.735005545
471	2.734815146
472	2.734646962
473	2.73444382
474	2.734266796
475	2.734080764
476	2.733934772
477	2.733714101
478	2.733510231
479	2.733301554
480	2.733097511
481	2.732925566
482	2.732862361
483	2.732659924
484	2.732309667
485	2.732201866
486	2.732147231
487	2.732087049
488	2.731954616
489	2.731873964
490	2.731758653
491	2.731626892
492	2.731578372
493	2.731461298
494	2.731300426
495	2.73119194
496	2.731177375
497	2.73108607
498	2.730980463
499	2.730677585
