iter	Passed	Remaining
142	460565	1149803
143	463764	1146530
144	466941	1143201
145	470116	1139871
146	473292	1136545
147	476506	1133312
148	479686	1129999
149	482917	1126806
150	486145	1123607
151	489345	1120344
152	492524	1117032
153	495782	1113901
154	498977	1110626
155	502209	1107436
156	505403	1104161
157	508568	1100825
158	511799	1097633
159	514995	1094365
160	518281	1091288
161	521466	1087997
162	524605	1084612
163	527819	1081385
164	531031	1078155
165	534177	1074790
166	537401	1071585
167	540596	1068321
168	543783	1065042
169	547011	1061846
170	550200	1058572
171	553454	1055425
172	556738	1052332
173	559968	1049136
174	563180	1045906
175	566389	1042672
176	569631	1039496
177	572864	1036305
178	576065	1033056
179	579283	1029837
180	582561	1026724
181	585863	1023651
182	589089	1020444
183	592336	1017273
184	595565	1014070
185	598802	1010881
186	602013	1007648
187	605190	1004359
188	608415	1001149
189	611645	997947
190	614897	994781
191	618093	991524
192	621297	988280
193	624503	985041
194	627712	981806
195	630970	978648
196	634276	975561
197	637448	972269
198	640669	969052
199	643862	965793
200	647065	962550
201	650220	959236
202	653471	956063
203	656691	952845
204	659904	949619
205	663128	946406
206	666347	943187
207	669578	939984
208	672817	936793
209	676034	933571
210	679249	930345
211	682487	927152
212	685680	923898
213	688897	920676
214	692078	917406
215	695271	914153
216	698452	910885
217	701639	907625
218	704825	904365
219	707976	901061
220	711114	897742
221	714261	894435
222	717443	891174
223	720612	887897
224	723782	884622
225	726954	881351
226	730083	878029
227	733225	874725
228	736461	871533
229	739626	868256
230	742813	865007
231	745972	861726
232	749206	858532
233	752476	855379
234	755677	852147
235	758911	848951
236	762162	845775
237	765397	842580
238	768658	839413
239	771986	836318
240	775190	833088
241	778477	829947
242	781667	826701
243	784897	823499
244	788130	820298
245	791342	817076
246	794539	813839
247	797795	810663
248	801013	807447
249	804184	804184
250	807339	800906
251	810514	797648
252	813693	794396
253	816866	791138
254	820031	787873
255	823237	784648
256	826460	781439
257	829654	778202
258	832872	774989
259	836048	771737
260	839231	768491
261	842402	765236
262	845535	761946
263	848709	758694
264	851941	755495
265	855109	752239
266	858359	749055
267	861547	745817
268	864725	742571
269	867964	739377
270	871215	736193
271	874428	732976
272	877605	729730
273	880832	726526
274	884040	723306
275	887235	720075
276	890448	716859
277	893647	713631
278	896846	710405
279	900068	707196
280	903310	704003
281	906579	700830
282	909839	697650
283	912999	694393
284	916197	691166
285	919445	687976
286	922686	684781
287	925847	681526
288	929017	678279
289	932191	675034
290	935378	671800
291	938546	668553
292	941732	665319
293	944908	662078
294	948084	658838
295	951242	655586
296	954409	652340
297	957593	649106
298	960782	645877
299	963964	642643
300	967195	639441
301	970415	636232
302	973598	632999
303	976802	629780
304	980038	626581
305	983217	623347
306	986418	620126
307	989640	616918
308	992911	613741
309	996128	610530
310	999349	607321
311	1002573	604114
312	1005818	600920
313	1009031	597706
314	1012257	594500
315	1015440	591269
316	1018621	588037
317	1021816	584813
318	1025030	581600
319	1028232	578380
320	1031398	575141
321	1034590	571916
322	1037754	568676
323	1040969	565464
324	1044174	562247
325	1047371	559026
326	1050524	555782
327	1053703	552551
328	1056910	549336
329	1060117	546121
330	1063322	542904
331	1066479	539664
332	1069635	536423
333	1072865	533220
334	1076042	529990
335	1079258	526780
336	1082445	523556
337	1085639	520335
338	1088801	517100
339	1092008	513886
340	1095173	510652
341	1098361	507430
342	1101612	504236
343	1104788	501008
344	1107949	497774
345	1111122	494545
346	1114375	491353
347	1117513	488109
348	1120672	484875
349	1123883	481664
350	1127115	478462
351	1130362	475266
352	1133577	472056
353	1136746	468827
354	1139890	465589
355	1143083	462370
356	1146277	459153
357	1149444	455925
358	1152634	452706
359	1155853	449498
360	1159067	446289
361	1162272	443076
362	1165466	439859
363	1168693	436654
364	1171900	433442
365	1175153	430247
366	1178340	427028
367	1181575	423825
368	1184784	420614
369	1187982	417399
370	1191195	414189
371	1194416	410982
372	1197670	407785
373	1200850	404564
374	1204014	401338
375	1207187	398115
376	1210368	394894
377	1213566	391680
378	1216752	388461
379	1219912	385235
380	1223129	382027
381	1226300	378804
382	1229462	375579
383	1232753	372394
384	1235910	369167
385	1239107	365954
386	1242282	362733
387	1245432	359506
388	1248604	356285
389	1251773	353064
390	1254966	349849
391	1258180	346641
392	1261376	343428
393	1264611	340225
394	1267776	337003
395	1270990	333795
396	1274204	330587
397	1277404	327375
398	1280640	324172
399	1283936	320984
400	1287151	317775
401	1290399	314574
402	1293568	311355
403	1296791	308148
404	1300001	304938
405	1303179	301721
406	1306382	298510
407	1309546	295289
408	1312737	292076
409	1315942	288865
410	1319103	285645
411	1322299	282432
412	1325512	279224
413	1328654	276000
414	1331811	272780
415	1334958	269558
416	1338135	266343
417	1341287	263123
418	1344463	259908
419	1347674	256699
420	1350870	253488
421	1354279	250317
422	1357452	247101
423	1360628	243886
424	1363857	240680
425	1367012	237462
426	1370244	234257
427	1373466	231050
428	1376672	227840
429	1379870	224630
430	1383106	221425
431	1386274	218209
432	1389450	214995
433	1392655	211786
434	1395816	208570
435	1398995	205357
436	1402163	202142
437	1405393	198936
438	1408542	195720
439	1411716	192506
440	1414847	189287
441	1417983	186070
442	1421148	182856
443	1424299	179641
444	1427508	176433
445	1430685	173222
446	1433864	170010
447	1437022	166797
448	1440173	163583
449	1443327	160369
450	1446479	157156
451	1449660	153946
452	1452821	150734
453	1456040	147528
454	1459180	144314
455	1462348	141103
456	1465545	137895
457	1468715	134685
458	1471961	131482
459	1475127	128271
460	1478316	125063
461	1481525	121857
462	1484732	118650
463	1487912	115441
464	1491117	112234
465	1494310	109026
466	1497476	105817
467	1500694	102611
468	1503918	99406
469	1507126	96199
470	1510267	92988
471	1513451	89781
472	1516612	86571
473	1519849	83367
474	1523068	80161
475	1526314	76957
476	1529563	73752
477	1532753	70545
478	1535922	67336
479	1539110	64129
480	1542292	60922
481	1545483	57715
482	1548629	54506
483	1551788	51298
484	1555008	48093
485	1558159	44885
486	1561303	41677
487	1564524	38471
488	1567686	35264
489	1570905	32059
490	1574091	28853
491	1577274	25646
492	1580437	22440
493	1583588	19233
494	1586816	16028
495	1590006	12822
496	1593248	9617
497	1596430	6411
498	1599695	3205
499	1602961	0
